town,"Below $1,000","$1,000 - $1,499","$1,500 - $1,999","$2,000 - $2,499","$2,500 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 & Over"
ANG MO KIO,275000.0,295000.0,310000.0,328000.0,353000.0,418000.0,468000.0,548000.0,600888.0,638000.0,980000.0
BEDOK,280000.0,294991.8465195337,308000.0,330000.0,360000.0,400000.0,430934.6371498032,482868.965307076,530000.0,560000.0,935000.0
BISHAN,400000.0,450000.0,495000.0,530000.0,555000.0,605000.0,665000.0,715000.0,750000.0,780000.0,1180000.0
BUKIT BATOK,260000.0,272000.0,285000.0,303000.0,330000.0,388000.0,418863.52341968776,444716.80377594987,473912.254396608,518710.8996413384,890000.0
BUKIT MERAH,320000.0,369964.39705788624,430224.5210141884,520000.0,570000.0,648957.5711499484,710000.0,750000.0,778000.0,804782.5386311774,1200000.0
BUKIT PANJANG,305888.0,330000.0,350000.0,370000.0,396000.0,438000.0,470000.0,505000.0,544942.3888493296,570000.0,840000.0
BUKIT TIMAH,390000.0,421227.6929692539,432583.42291980213,454752.74134594714,529533.6486777038,600000.0,650000.0,675000.0,700000.0,720000.0,1058000.0
CENTRAL AREA,377074.13193211675,400000.0,425000.0,450000.0,470000.0,533181.4954200101,647728.2539231698,808726.5852446212,845000.0,860000.0,1200000.0
CHOA CHU KANG,310000.0,325000.0,338000.0,350000.0,360000.0,388000.0,412000.0,435000.0,462000.0,495000.0,900000.0
CLEMENTI,285000.0,305000.0,323000.0,348000.0,370000.0,420000.0,490000.0,547336.9780231724,610000.0,660000.0,1068000.0
GEYLANG,250000.0,275000.0,310000.0,348000.0,388000.0,480000.0,575000.0,638000.0,660000.0,688000.0,998000.0
HOUGANG,293822.5491437149,326000.0,355000.0,378000.0,397000.0,433000.0,472292.82782067684,518000.0,570000.0,615000.0,1000000.0
JURONG EAST,275000.0,292000.0,315000.0,350000.0,385836.6039247096,450000.0,500000.0,550000.0,600000.0,625000.0,900000.0
JURONG WEST,275000.0,315000.0,345000.0,370000.0,390000.0,430000.0,465000.0,493000.0,520000.0,540000.0,790000.0
KALLANG,291000.0,330000.0,365000.0,415000.0,475000.0,573560.9931630082,630000.0,670000.0,700000.0,722116.9485426408,1205000.0
MARINE PARADE,350000.0,375000.0,385000.0,400000.0,410000.0,452507.2156196944,479987.2665534805,510000.0,535000.0,555000.0,950000.0
PASIR RIS,382000.0,395000.0,405014.83535633644,420000.0,438000.0,470000.0,498000.0,530000.0,568000.0,594884.1054083132,808000.0
PUNGGOL,359997.2470967946,375000.0,395000.0,412000.0,425000.0,445000.0,462000.0,488322.65620352514,510000.0,530000.0,910888.0
QUEENSTOWN,305988.66624916316,338000.0,365000.0,408000.0,468000.0,600000.0,685000.0,727010.128058393,755000.0,775000.0,1170000.0
SEMBAWANG,318000.0,335000.0,350000.0,362933.7379572046,375000.0,398000.0,420000.0,447347.71265942865,462578.5416886265,477259.0386845154,590000.0
SENGKANG,348000.0,365000.0,383000.0,402000.0,415000.0,440000.0,460000.0,488000.0,515806.1862414392,535000.0,710000.0
SERANGOON,308000.0,338000.0,363820.89791726845,390000.0,417328.2789384166,470000.0,502901.39918487857,540000.0,590000.0,625000.0,1000000.0
TAMPINES,325000.0,355000.0,393000.0,420000.0,438000.0,485000.0,522000.0,551000.0,595000.0,630000.0,990000.0
TOA PAYOH,265000.0,290000.0,310000.0,338940.81352112675,385000.0,550000.0,635000.0,707737.3926760562,750000.0,795000.0,1160888.0
WOODLANDS,288000.0,317000.0,338000.0,360000.0,378000.0,409908.22295146686,430000.0,460000.0,512000.0,560000.0,855000.0
YISHUN,270000.0,290000.0,310000.0,328000.0,351805.0993673717,390000.0,420000.0,451129.1775832324,485000.0,512334.01495303225,868000.0
